ISIN,Symbol,Client ID,Counterparty,Trading Venue,Currency,Country of Trade,KYC Status,Reference Data Validated,Collateral Required,Margin Type,Margin Status,FX Rate Applied,Pricing Source
US240362447,TSLA,CID5962,Citibank,IEX,USD,US,Pending,No,33976.06,Variation,Pending,1.0442,Bloomberg
US511561515,BABA,CID2693,Goldman Sachs,IEX,GBP,UK,Failed,No,33994.13,Variation,Satisfied,0.8749,Bloomberg
US203344163,ADBE,CID5299,Morgan Stanley,BATS,EUR,DE,Pending,Yes,58139.2,Variation,Pending,0.9645,ICE
US918886777,NFLX,CID4233,Citibank,NASDAQ,USD,US,Pending,No,19074,Variation,Pending,1.0119,ICE
US403557069,NFLX,CID7506,Citibank,NASDAQ,GBP,US,Completed,Yes,36312.8,Initial,Failed,1.0459,Bloomberg
US182199097,GOOGL,CID1598,Citibank,NYSE,USD,US,Failed,Yes,18170.41,Initial,Pending,0.8263,ICE
US792919549,AMZN,CID8072,Morgan Stanley,NASDAQ,GBP,DE,Completed,Yes,7433.03,Variation,Satisfied,0.9403,ICE
US951500830,NVDA,CID7079,JPMorgan,BATS,EUR,US,Pending,Yes,48741.01,Variation,Failed,0.9066,Bloomberg
US374814619,ADBE,CID8079,JPMorgan,NASDAQ,USD,US,Pending,Yes,23098.43,Variation,Satisfied,0.837,Bloomberg
US736755554,AAPL,CID3450,Citibank,BATS,GBP,UK,Pending,No,33267.5,Variation,Failed,0.9109,Bloomberg
US463101969,AAPL,CID1825,JPMorgan,NASDAQ,EUR,DE,Failed,Yes,8879.55,Variation,Pending,0.9542,Bloomberg
US138859211,BABA,CID5493,Citibank,NASDAQ,EUR,DE,Completed,No,58167.18,Variation,Pending,0.9803,ICE
US311929322,ADBE,CID4114,Morgan Stanley,BATS,GBP,UK,Completed,Yes,18573.91,Variation,Satisfied,1.1727,Reuters
US861733893,BABA,CID3503,JPMorgan,BATS,GBP,DE,Pending,No,19243.45,Variation,Satisfied,0.9653,Reuters
US716657966,BABA,CID8748,Citibank,IEX,USD,UK,Pending,Yes,8471.08,Variation,Pending,0.8705,Reuters
US613556217,AAPL,CID3859,Morgan Stanley,NYSE,GBP,UK,Completed,Yes,18905.27,Initial,Pending,0.8417,Reuters
US927329389,GOOGL,CID1786,JPMorgan,BATS,USD,UK,Failed,No,26595.9,Variation,Failed,1.02,ICE
US212110852,NVDA,CID3588,Goldman Sachs,NYSE,GBP,US,Pending,Yes,10152.83,Variation,Failed,1.1275,ICE
US708344912,AMZN,CID9597,Citibank,IEX,USD,UK,Completed,Yes,30544.59,Variation,Failed,1.1489,Bloomberg
US377248184,TSLA,CID2179,Citibank,IEX,EUR,US,Pending,No,28381.89,Variation,Pending,0.9124,Bloomberg
US338997283,AMZN,CID3462,Morgan Stanley,NYSE,USD,US,Completed,Yes,25597.85,Initial,Failed,1.111,Reuters
US224688107,BABA,CID6403,Morgan Stanley,BATS,EUR,US,Pending,No,10772.36,Initial,Pending,0.843,ICE
US609387594,GOOGL,CID5173,Citibank,NYSE,USD,US,Completed,Yes,52904.31,Initial,Pending,1.0262,Bloomberg
US431561710,TSLA,CID1575,Citibank,NYSE,GBP,DE,Failed,Yes,33105.65,Variation,Pending,1.16,ICE
US725944965,AAPL,CID9500,Goldman Sachs,BATS,GBP,DE,Completed,No,698.08,Initial,Pending,0.9735,ICE
US726315514,TSLA,CID2619,Citibank,NYSE,GBP,DE,Failed,Yes,44360.6,Initial,Failed,0.8926,ICE
US544756731,NVDA,CID8898,Citibank,IEX,USD,DE,Failed,Yes,14048.72,Initial,Pending,1.0428,Bloomberg
US470601172,ADBE,CID8625,Citibank,NYSE,GBP,US,Completed,Yes,21268.45,Variation,Pending,1.0957,Reuters
US173603600,NVDA,CID2057,Citibank,NASDAQ,GBP,DE,Pending,Yes,19170.78,Initial,Satisfied,0.8733,Bloomberg
US859204885,AMZN,CID6126,Morgan Stanley,IEX,GBP,DE,Completed,Yes,40261.63,Initial,Satisfied,1.103,Reuters
US444878690,NVDA,CID4521,JPMorgan,NASDAQ,EUR,UK,Failed,No,9626.16,Initial,Satisfied,0.9969,Reuters
US511362334,NFLX,CID9833,JPMorgan,NYSE,GBP,US,Completed,No,55890,Variation,Satisfied,0.9801,Reuters
US623162018,BABA,CID2486,Morgan Stanley,IEX,USD,US,Failed,Yes,26531.43,Variation,Pending,1.0798,ICE
US316010828,MSFT,CID3303,Citibank,IEX,USD,DE,Failed,No,12827.36,Variation,Failed,0.8174,ICE
US303681429,NVDA,CID6632,Citibank,BATS,USD,DE,Completed,Yes,3731.08,Initial,Failed,1.0704,Reuters
US696783507,TSLA,CID8148,Goldman Sachs,BATS,USD,UK,Failed,No,15691.7,Variation,Pending,0.914,Bloomberg
US845269714,MSFT,CID3448,Citibank,NASDAQ,USD,DE,Pending,Yes,7071.54,Initial,Pending,1.0914,Bloomberg
US777621649,AAPL,CID1248,Goldman Sachs,BATS,GBP,UK,Failed,No,35236.5,Initial,Satisfied,0.9761,Bloomberg
US112219917,BABA,CID5796,JPMorgan,IEX,EUR,US,Completed,Yes,9410.65,Variation,Satisfied,1.1207,ICE
US504829074,BABA,CID4309,Goldman Sachs,BATS,USD,US,Completed,No,3524.54,Variation,Failed,1.0643,Bloomberg
US187405504,TSLA,CID4536,Morgan Stanley,IEX,USD,DE,Pending,No,10638.7,Initial,Failed,0.83,Bloomberg
US816630499,TSLA,CID1242,Morgan Stanley,NASDAQ,EUR,DE,Pending,Yes,6808.49,Initial,Failed,0.9987,Reuters
US674871357,NVDA,CID1487,Citibank,NASDAQ,EUR,US,Completed,Yes,33540.44,Initial,Satisfied,0.8411,Reuters
US590523117,MSFT,CID7067,JPMorgan,BATS,EUR,UK,Completed,No,19348.92,Initial,Satisfied,0.9434,Reuters
US971820697,NVDA,CID7892,Goldman Sachs,BATS,EUR,DE,Failed,Yes,4232.92,Variation,Satisfied,0.936,Bloomberg
US484858411,BABA,CID6879,Morgan Stanley,IEX,GBP,US,Pending,Yes,22636.96,Variation,Pending,0.8244,Reuters
