ISIN,Symbol,Client ID,Counterparty,Trading Venue,Currency,Country of Trade,KYC Status,Reference Data Validated,Collateral Required,Margin Type,Margin Status,FX Rate Applied,Pricing Source,Settlement Date,Settlement Status
US240362447,TSLA,CID5962,Citibank,IEX,USD,US,Pending,No,33976.06,Variation,Pending,1.0442,Bloomberg,26-01-2024,Pending  
US511561515,BABA,CID2693,Goldman Sachs,IEX,GBP,UK,Failed,No,33994.13,Variation,Satisfied,0.8749,Bloomberg,20-01-2024,Settled  
US203344163,ADBE,CID5299,Morgan Stanley,BATS,EUR,DE,Pending,Yes,58139.2,Variation,Pending,0.9645,ICE,02-04-2024,Pending  
US918886777,NFLX,CID4233,Citibank,NASDAQ,USD,US,Pending,No,19074,Variation,Pending,1.0119,ICE,12-02-2024,Settled  
US403557069,NFLX,CID7506,Citibank,NASDAQ,GBP,US,Completed,Yes,36312.8,Initial,Failed,1.0459,Bloomberg,22-01-2024,Settled  
US182199097,GOOGL,CID1598,Citibank,NYSE,USD,US,Failed,Yes,18170.41,Initial,Pending,0.8263,ICE,20-02-2024,Failed  
US792919549,AMZN,CID8072,Morgan Stanley,NASDAQ,GBP,DE,Completed,Yes,7433.03,Variation,Satisfied,0.9403,ICE,20-02-2024,Failed  
US951500830,NVDA,CID7079,JPMorgan,BATS,EUR,US,Pending,Yes,48741.01,Variation,Failed,0.9066,Bloomberg,05-04-2024,Failed  
US374814619,ADBE,CID8079,JPMorgan,NASDAQ,USD,US,Pending,Yes,23098.43,Variation,Satisfied,0.837,Bloomberg,19-02-2024,Settled  
US736755554,AAPL,CID3450,Citibank,BATS,GBP,UK,Pending,No,33267.5,Variation,Failed,0.9109,Bloomberg,26-01-2024,Pending  
US463101969,AAPL,CID1825,JPMorgan,NASDAQ,EUR,DE,Failed,Yes,8879.55,Variation,Pending,0.9542,Bloomberg,29-02-2024,Settled  
US138859211,BABA,CID5493,Citibank,NASDAQ,EUR,DE,Completed,No,58167.18,Variation,Pending,0.9803,ICE,30-03-2024,Pending  
US311929322,ADBE,CID4114,Morgan Stanley,BATS,GBP,UK,Completed,Yes,18573.91,Variation,Satisfied,1.1727,Reuters,24-01-2024,Settled  
US861733893,BABA,CID3503,JPMorgan,BATS,GBP,DE,Pending,No,19243.45,Variation,Satisfied,0.9653,Reuters,18-04-2024,Settled  
US716657966,BABA,CID8748,Citibank,IEX,USD,UK,Pending,Yes,8471.08,Variation,Pending,0.8705,Reuters,02-04-2024,Pending  
US613556217,AAPL,CID3859,Morgan Stanley,NYSE,GBP,UK,Completed,Yes,18905.27,Initial,Pending,0.8417,Reuters,28-03-2024,Settled  
US927329389,GOOGL,CID1786,JPMorgan,BATS,USD,UK,Failed,No,26595.9,Variation,Failed,1.02,ICE,17-03-2024,Settled  
US212110852,NVDA,CID3588,Goldman Sachs,NYSE,GBP,US,Pending,Yes,10152.83,Variation,Failed,1.1275,ICE,02-03-2024,Settled  
US708344912,AMZN,CID9597,Citibank,IEX,USD,UK,Completed,Yes,30544.59,Variation,Failed,1.1489,Bloomberg,10-03-2024,Failed  
US377248184,TSLA,CID2179,Citibank,IEX,EUR,US,Pending,No,28381.89,Variation,Pending,0.9124,Bloomberg,23-01-2024,Settled  
US338997283,AMZN,CID3462,Morgan Stanley,NYSE,USD,US,Completed,Yes,25597.85,Initial,Failed,1.111,Reuters,11-03-2024,Pending  
US224688107,BABA,CID6403,Morgan Stanley,BATS,EUR,US,Pending,No,10772.36,Initial,Pending,0.843,ICE,31-03-2024,Pending  
US609387594,GOOGL,CID5173,Citibank,NYSE,USD,US,Completed,Yes,52904.31,Initial,Pending,1.0262,Bloomberg,06-02-2024,Settled  
US431561710,TSLA,CID1575,Citibank,NYSE,GBP,DE,Failed,Yes,33105.65,Variation,Pending,1.16,ICE,30-03-2024,Failed  
US725944965,AAPL,CID9500,Goldman Sachs,BATS,GBP,DE,Completed,No,698.08,Initial,Pending,0.9735,ICE,12-03-2024,Settled  
US726315514,TSLA,CID2619,Citibank,NYSE,GBP,DE,Failed,Yes,44360.6,Initial,Failed,0.8926,ICE,03-04-2024,Settled  
US544756731,NVDA,CID8898,Citibank,IEX,USD,DE,Failed,Yes,14048.72,Initial,Pending,1.0428,Bloomberg,26-03-2024,Settled  
US470601172,ADBE,CID8625,Citibank,NYSE,GBP,US,Completed,Yes,21268.45,Variation,Pending,1.0957,Reuters,22-03-2024,Pending  
US173603600,NVDA,CID2057,Citibank,NASDAQ,GBP,DE,Pending,Yes,19170.78,Initial,Satisfied,0.8733,Bloomberg,03-03-2024,Settled  
US859204885,AMZN,CID6126,Morgan Stanley,IEX,GBP,DE,Completed,Yes,40261.63,Initial,Satisfied,1.103,Reuters,14-02-2024,Pending  
