Currency Pair,Counterparty,Base Currency,Term Currency,Execution Venue,Product Type,Booking Location,Portfolio,Trade Source System,Custodian,Settlement Instructions,Netting Eligibility,KYC Status,Sanctions Screening,Settlement Currency,Cost Center,Expense Approval Status,Settlement Date,Settlement Method,Settlement Status
EUR/USD,HSBC,EUR,USD,Bloomberg,Forward,New York,PORT3,Murex,BNY Mellon,Special,Yes,Pending,Pending Review,USD,FX_FIN_03,Rejected,16-05-2025,CLS,Settled
USD/CHF,Citi,USD,CHF,EBS,Spot,Singapore,PORT3,Custom,BNY Mellon,Standard,No,Completed,Clear,CHF,FX_OPS_01,Under Review,26-05-2025,Wire,Settled
USD/JPY,Citi,USD,JPY,360T,Forward,Singapore,PORT1,Murex,JP Morgan,Urgent,Yes,Pending,Clear,JPY,FX_FIN_03,Under Review,22-05-2025,CLS,Failed
USD/JPY,JPMorgan,USD,JPY,Bloomberg,Spot,Singapore,PORT1,Murex,HSBC Custody,Standard,No,Pending,Flagged,JPY,FX_OPS_01,Under Review,05-06-2025,Wire,Settled
USD/INR,HSBC,USD,INR,EBS,Swap,New York,PORT2,Murex,BNY Mellon,Special,Yes,Rejected,Flagged,INR,FX_FIN_03,Under Review,02-06-2025,Netting,Pending
EUR/USD,Citi,EUR,USD,Reuters,Spot,London,PORT5,Murex,HSBC Custody,Special,No,Rejected,Clear,USD,FX_FIN_03,Under Review,17-05-2025,Netting,Failed
USD/INR,HSBC,USD,INR,360T,Forward,New York,PORT5,Custom,BNY Mellon,Special,No,Completed,Flagged,INR,FX_TRD_02,Rejected,14-05-2025,Wire,Pending
USD/CHF,Citi,USD,CHF,Reuters,Spot,Mumbai,PORT4,Custom,JP Morgan,Special,No,Completed,Clear,CHF,FX_OPS_01,Approved,18-05-2025,CLS,Pending
GBP/USD,Deutsche,GBP,USD,360T,Swap,London,PORT4,Custom,State Street,Special,No,Completed,Clear,USD,FX_FIN_03,Under Review,11-06-2025,Netting,Pending
USD/CHF,BNP Paribas,USD,CHF,Reuters,Swap,London,PORT1,Summit,State Street,Urgent,No,Completed,Pending Review,CHF,FX_TRD_02,Rejected,30-05-2025,Netting,Failed
USD/INR,Deutsche,USD,INR,Bloomberg,Spot,Singapore,PORT4,Calypso,State Street,Special,No,Completed,Clear,INR,FX_FIN_03,Under Review,01-06-2025,CLS,Settled
