Client ID,Currency Pair,Counterparty,Base Currency,Term Currency,Execution Venue,Product Type,Booking Location,Portfolio,Trade Source System,Custodian,Settlement Instructions,Netting Eligibility,KYC Status,Sanctions Screening,Settlement Currency,Cost Center,Expense Approval Status,Settlement Date,Settlement Method,Settlement Status
CID5962,EUR/USD,HSBC,EUR,USD,Bloomberg,Forward,New York,PORT3,Murex,BNY Mellon,Special,Yes,Pending,Pending Review,USD,FX_FIN_03,Rejected,16-05-2025,CLS,Settled
CID2693,USD/CHF,Citi,USD,CHF,EBS,Spot,Singapore,PORT3,Custom,BNY Mellon,Standard,No,Completed,Clear,CHF,FX_OPS_01,Under Review,26-05-2025,Wire,Settled
CID5299,USD/JPY,Citi,USD,JPY,360T,Forward,Singapore,PORT1,Murex,JP Morgan,Urgent,Yes,Pending,Clear,JPY,FX_FIN_03,Under Review,22-05-2025,CLS,Failed
CID4233,USD/JPY,JPMorgan,USD,JPY,Bloomberg,Spot,Singapore,PORT1,Murex,HSBC Custody,Standard,No,Pending,Flagged,JPY,FX_OPS_01,Under Review,05-06-2025,Wire,Settled
CID7506,USD/INR,HSBC,USD,INR,EBS,Swap,New York,PORT2,Murex,BNY Mellon,Special,Yes,Rejected,Flagged,INR,FX_FIN_03,Under Review,02-06-2025,Netting,Pending
CID1598,EUR/USD,Citi,EUR,USD,Reuters,Spot,London,PORT5,Murex,HSBC Custody,Special,No,Rejected,Clear,USD,FX_FIN_03,Under Review,17-05-2025,Netting,Failed
CID8072,USD/INR,HSBC,USD,INR,360T,Forward,New York,PORT5,Custom,BNY Mellon,Special,No,Completed,Flagged,INR,FX_TRD_02,Rejected,14-05-2025,Wire,Pending
CID7079,USD/CHF,Citi,USD,CHF,Reuters,Spot,Mumbai,PORT4,Custom,JP Morgan,Special,No,Completed,Clear,CHF,FX_OPS_01,Approved,18-05-2025,CLS,Pending
CID8079,GBP/USD,Deutsche,GBP,USD,360T,Swap,London,PORT4,Custom,State Street,Special,No,Completed,Clear,USD,FX_FIN_03,Under Review,11-06-2025,Netting,Pending
CID3450,USD/CHF,BNP Paribas,USD,CHF,Reuters,Swap,London,PORT1,Summit,State Street,Urgent,No,Completed,Pending Review,CHF,FX_TRD_02,Rejected,30-05-2025,Netting,Failed
CID1825,USD/INR,Deutsche,USD,INR,Bloomberg,Spot,Singapore,PORT4,Calypso,State Street,Special,No,Completed,Clear,INR,FX_FIN_03,Under Review,01-06-2025,CLS,Settled
CID5493,USD/INR,Citi,USD,INR,EBS,Forward,Mumbai,PORT4,Custom,JP Morgan,Standard,No,Completed,Clear,INR,FX_FIN_03,Rejected,19-05-2025,Netting,Failed
CID4114,AUD/USD,Citi,AUD,USD,Bloomberg,Spot,New York,PORT5,Custom,BNY Mellon,Special,Yes,Completed,Flagged,USD,FX_FIN_03,Approved,19-05-2025,Netting,Pending
CID3503,GBP/USD,Deutsche,GBP,USD,360T,Forward,London,PORT2,Murex,State Street,Special,Yes,Rejected,Clear,USD,FX_FIN_03,Rejected,09-06-2025,Netting,Settled
CID8748,AUD/USD,Citi,AUD,USD,Bloomberg,Spot,Singapore,PORT1,Custom,State Street,Urgent,No,Completed,Clear,USD,FX_OPS_01,Approved,06-06-2025,Wire,Settled
CID3859,USD/INR,JPMorgan,USD,INR,Bloomberg,Forward,Mumbai,PORT2,Murex,HSBC Custody,Urgent,No,Pending,Pending Review,INR,FX_FIN_03,Rejected,22-05-2025,Netting,Failed
CID1786,USD/CHF,BNP Paribas,USD,CHF,EBS,Spot,New York,PORT3,Custom,State Street,Urgent,No,Rejected,Clear,CHF,FX_TRD_02,Under Review,07-06-2025,Netting,Failed
CID3588,USD/INR,BNP Paribas,USD,INR,Reuters,Swap,London,PORT4,Murex,State Street,Special,No,Rejected,Clear,INR,FX_TRD_02,Rejected,16-05-2025,CLS,Failed
CID9597,USD/JPY,Citi,USD,JPY,Bloomberg,Swap,Mumbai,PORT3,Custom,State Street,Standard,Yes,Rejected,Pending Review,JPY,FX_OPS_01,Under Review,28-05-2025,Netting,Settled
CID2179,GBP/USD,JPMorgan,GBP,USD,Reuters,Swap,Singapore,PORT3,Custom,BNY Mellon,Urgent,No,Rejected,Flagged,USD,FX_OPS_01,Rejected,03-06-2025,Netting,Pending
